C,a,b,contrast,n,mean_diff,lo,hi,p,wins,a_mean,b_mean
800,SC-FAC,SC(nocond),SC-FAC-SC(nocond),3,-174.60347222222208,-666.0584473181689,316.8515028737247,0.2659534298631532,1,3720.7584722222223,3895.3619444444444
800,SC-FAC,SC(shuf.),SC-FAC-SC(shuf.),3,76.99819444444438,-547.5639862629916,701.5603751518804,0.6488092955350133,2,3720.7584722222223,3643.760277777778
1200,SC-FAC,SC(nocond),SC-FAC-SC(nocond),3,-284.2276388888883,-1678.2224736707415,1109.7671958929648,0.4728545803488273,1,12950.945555555556,13235.173194444442
1200,SC-FAC,SC(shuf.),SC-FAC-SC(shuf.),3,-300.65263888888876,-1212.0934325304606,610.788154752683,0.291626130392746,1,12950.945555555556,13251.598194444443
